_RA,_DE,HR,SpT,52,33-52,35-52,37-52,40-52,45-52,52-58,52-63,52-72,52-80,52-86,52-99,52-110
207.36934,15.79791,5200,K5+III,4.459,3.314,2.856,2.882,2.254,0.621,0.783,1.218,1.692,2.090,2.260,2.536,2.782
207.94673,-46.89867,5206,B4 III,5.670,-1.220,-1.080,-0.680,-0.220,-0.030,-0.050,-0.080,,,,,
208.42956,-53.37332,5217,B5 V,5.960,-0.660,-0.570,-0.360,-0.020,0.060,0.040,0.070,,,,,
207.94781,34.44424,5219,gM2,5.134,3.788,3.182,3.072,2.447,0.821,0.696,1.271,2.093,2.676,2.910,3.264,3.575
208.30225,-31.92761,5221,B4 IV,4.670,-0.850,-0.740,-0.480,-0.160,-0.020,-0.030,-0.060,,,,,
207.85808,64.72327,5226,gM3,4.940,3.603,3.001,2.900,2.293,0.793,0.646,1.243,2.131,2.749,2.998,3.382,3.650
208.88494,-47.28837,5231,B2.5 IV,2.516,-1.514,-1.393,-0.866,-0.308,-0.076,-0.078,-0.139,-0.207,-0.267,-0.337,-0.484,-0.462
208.67116,18.39772,5235,G0 IV,2.807,0.549,0.480,0.577,0.703,0.272,0.301,0.492,0.627,0.786,0.823,0.867,0.982
209.56778,-42.10075,5248,B2 IV,3.730,-1.330,-1.180,-0.750,-0.260,-0.050,-0.070,-0.120,,,,,
209.66979,-44.80359,5249,B2 IV-V,3.790,-1.280,-1.140,-0.720,-0.260,-0.050,-0.070,-0.120,,,,,
210.41164,1.54453,5264,A3 III,4.233,0.323,0.248,0.155,0.103,0.064,0.052,0.109,0.140,0.167,0.181,0.229,0.228
210.95586,-60.37304,5267,B1 III,0.584,-1.607,-1.466,-0.965,-0.307,-0.093,-0.083,-0.125,-0.194,-0.247,-0.307,-0.482,-0.510
211.51153,-41.17963,5285,B2 V,4.290,-1.280,-1.090,-0.660,-0.240,-0.040,-0.080,-0.110,,,,,
211.59291,-26.68236,5287,K2 III,3.516,1.971,1.707,1.823,1.506,0.479,0.558,0.850,1.165,1.413,1.526,1.706,1.892
211.67061,-36.36995,5288,K0 III-IV,2.806,1.649,1.420,1.554,1.337,0.470,0.470,0.775,1.024,1.263,1.364,1.521,1.688
211.09729,64.37585,5291,A0 III,3.651,-0.108,-0.106,-0.168,-0.092,-0.019,-0.004,0.001,-0.063,-0.070,-0.061,-0.076,-0.104
212.23439,-59.27671,5292,B5 IV,6.340,-0.780,-0.670,-0.370,-0.020,0.050,0.060,0.110,,,,,
211.98232,43.85445,5299,M4.5 III,5.529,3.632,2.895,2.631,2.071,0.925,0.508,1.272,2.531,3.301,3.652,4.210,4.523
212.59972,25.09168,5304,F8 IV,4.908,0.352,0.260,0.403,0.613,0.282,0.252,0.437,0.548,0.713,0.741,0.815,0.914
213.06586,2.40943,5313,B9 p(Si),5.005,-0.747,-0.674,-0.442,-0.164,-0.048,-0.022,-0.042,-0.080,-0.094,-0.123,-0.190,-0.185
213.22394,-10.27370,5315,K3 III,4.536,2.662,2.280,2.373,1.886,0.583,0.660,1.045,1.395,1.710,1.841,2.086,2.331
213.73808,-57.08613,5316,B3 Ve,4.930,-0.980,-0.940,-0.640,-0.110,0.060,0.000,0.090,,,,,
213.36586,51.78785,5328,F2 V/A7 IV,4.434,0.269,0.216,0.226,0.237,0.099,0.119,0.185,0.269,0.320,0.335,0.314,0.357
215.59652,-80.10895,5336,B3 V,5.120,-0.970,-0.890,-0.570,-0.170,-0.030,-0.040,-0.040,,,,,
214.00362,-6.00055,5338,F7 III-IV,4.195,0.319,0.230,0.391,0.588,0.277,0.253,0.419,0.602,0.730,0.793,0.838,0.926
213.91530,19.18241,5340,K2 IIIp,0.243,2.403,2.023,2.091,1.702,0.557,0.614,0.978,1.321,1.615,1.749,1.978,2.169
214.04137,51.36723,5350,A7 V,4.803,0.195,0.162,0.239,0.251,0.096,0.108,0.165,0.270,0.326,0.333,0.320,0.283
214.09591,46.08831,5351,A0 p,4.182,0.104,0.102,0.135,0.111,0.041,0.015,0.050,0.114,0.124,0.135,0.151,0.164
214.85093,-46.05810,5354,B2.5 IV,3.514,-1.215,-1.120,-0.711,-0.235,-0.057,-0.069,-0.109,-0.153,-0.205,-0.241,-0.401,-0.445
214.77747,-13.37110,5359,A8 m,4.542,0.224,0.181,0.198,0.159,0.056,0.061,0.090,0.072,0.120,0.116,0.137,0.221
214.49925,35.50951,5361,K0 III,5.047,1.738,1.540,1.636,1.412,0.476,0.487,0.783,0.979,1.221,1.309,1.489,1.706
214.93848,16.30695,5370,K3 III,5.163,2.368,2.155,2.202,1.729,0.511,0.616,0.947,1.210,1.483,1.601,1.822,1.999
215.75933,-39.51182,5378,B7 IIIp,4.480,-1.280,-1.190,-0.770,-0.260,-0.050,-0.040,-0.080,,,,,
215.81369,1.24157,5384,G1 V,6.392,0.389,0.295,0.551,0.732,0.314,0.305,0.511,0.711,0.889,0.939,1.003,1.111
216.53427,-45.22143,5395,B2 IV,4.600,-1.300,-1.200,-0.800,-0.240,-0.040,-0.040,-0.060,,,,,
216.54506,-45.37928,5396,A7 + F4 IV,4.490,0.590,0.410,0.400,0.420,0.210,0.220,0.380,,,,,
216.29915,51.85074,5404,F7 V,4.166,0.263,0.178,0.369,0.572,0.252,0.258,0.424,0.530,0.666,0.710,0.745,0.835
217.05058,-2.22796,5409,G2 III,4.970,0.645,0.529,0.672,0.808,0.342,0.343,0.558,0.754,0.926,0.984,1.065,1.169
217.53596,-45.32136,5412,B8 Vn,5.570,-0.470,-0.430,-0.320,-0.140,-0.040,0.000,-0.010,,,,,
217.95746,30.37144,5429,K3 III,3.928,2.541,2.267,2.330,1.822,0.556,0.650,1.014,1.322,1.603,1.738,1.950,2.141
216.88143,75.69599,5430,K4 III,4.613,2.961,2.602,2.666,2.085,0.617,0.714,1.111,1.426,1.758,1.910,2.143,2.341
218.01947,38.30825,5435,A7 III,3.099,0.317,0.277,0.245,0.226,0.096,0.087,0.151,0.166,0.229,0.248,0.301,0.312
218.87677,-42.15783,5440,B1.5 Vn,2.339,-1.360,-1.259,-0.830,-0.286,-0.061,-0.060,-0.090,-0.161,-0.219,-0.272,-0.417,-0.473
218.67007,29.74513,5447,F2 V,4.569,0.042,0.001,0.173,0.383,0.192,0.195,0.343,0.441,0.560,0.600,0.599,0.662
219.90206,-60.83399,5459,G2 V,-0.074,0.709,0.732,0.860,0.825,0.301,0.395,0.597,0.814,0.985,1.019,1.097,1.237
220.62675,-64.97514,5463,F0 Vp,3.254,0.243,0.209,0.249,0.285,0.092,0.130,0.191,0.294,0.352,0.358,0.388,0.446
220.48232,-47.38820,5469,B1.5 III,2.353,-1.470,-1.346,-0.902,-0.306,-0.075,-0.070,-0.110,-0.151,-0.219,-0.261,-0.411,-0.407
221.96547,-79.04475,5470,K5 III,4.232,2.899,2.615,2.605,2.079,0.609,0.701,1.077,1.422,1.717,1.882,2.130,2.350
220.48996,-37.79350,5471,B3 V,4.013,-1.206,-1.112,-0.713,-0.252,-0.062,-0.056,-0.114,-0.126,-0.174,-0.232,-0.359,-0.285
220.18153,16.41832,5475,"B9 p(Mn,Hg)/A6V",4.539,-0.520,-0.479,-0.315,-0.078,-0.029,0.033,0.060,-0.018,-0.003,-0.027,-0.042,0.009
220.28712,13.72842,5477,A2 III,3.802,0.107,0.110,0.101,0.068,0.023,0.025,0.044,-0.009,0.008,-0.008,0.025,0.056
220.76509,-5.65820,5487,F3 IV,3.959,0.166,0.102,0.235,0.421,0.207,0.218,0.334,0.493,0.602,0.644,0.665,0.722
220.85568,26.52785,5490,gM3,5.172,3.655,3.101,3.024,2.453,0.808,0.731,1.290,2.084,2.646,2.869,3.230,3.481
221.31025,16.96428,5502,K0 III,4.823,1.479,1.301,1.384,1.268,0.453,0.449,0.722,0.953,1.168,1.268,1.392,1.520
221.24658,27.07493,5505,K0 II-III/A2 V,2.622,1.424,1.320,1.365,1.222,0.456,0.482,0.755,1.006,1.245,1.349,1.509,1.641
221.56219,1.89288,5511,A0 V,3.723,-0.027,-0.028,-0.061,-0.010,0.008,0.009,0.022,0.002,0.000,-0.005,-0.033,0.011
222.90960,-43.57536,5528,B5 IV,4.410,-1.080,-1.010,-0.650,-0.240,-0.070,-0.030,-0.060,,,,,
222.71964,-16.04178,5531,A3 IV,2.794,0.244,0.192,0.205,0.183,0.064,0.072,0.104,0.158,0.189,0.188,0.216,0.252
223.21281,-37.80316,5543,B6 V,5.050,-1.160,-1.090,-0.690,-0.240,-0.040,-0.050,-0.090,,,,,
222.84742,19.10047,5544,G8 V,4.747,0.662,0.569,0.839,0.906,0.318,0.418,0.677,0.888,1.084,1.149,1.247,1.375
224.18328,-62.78102,5551,B3 Vne,5.530,-0.990,-0.920,-0.630,-0.140,0.000,-0.010,0.080,,,,,
